Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
47,1177,Low,300,137,32.299269837231606,0.12437956113591561,5.543333333333333,11.10374587841278,0.03701248613800098,3.5906084970005883,0.011968694950106312,6.85484105861503,0.5129912650685269,Heavy Rain,Commercial,0.9347532967895478,0.45666666666666667,ppo_11000.zip
48,2038,Low,300,136,32.4852938787846,0.14080882249405277,5.546666666666667,10.764814818553623,0.035882715942236354,3.4815469155098024,0.01160515634634882,6.682663608203979,0.5363225236224121,Clear,School,0.6180467501972914,0.4533333333333333,ppo_11000.zip
49,8924,Medium,60,21,23.333332222222275,0.43571426496598736,3.8333333333333335,1.889037164510682,0.031483952217112164,0.610649914908184,0.010177498412178094,7.892108343791068,0.37687916855859516,Heavy Rain,Industrial,0.7834614543261529,0.35,ppo_11000.zip
50,2161,Medium,60,20,22.949998852500055,0.42499997875000106,3.566666666666667,1.821722158170368,0.03036203546347221,0.5889056385561138,0.009815093812350333,8.143452788745634,0.3660686681261073,Fog,Industrial,0.6844991420334873,0.3333333333333333,ppo_11000.zip
51,5774,Medium,60,20,25.049998747500062,0.8666666233333354,4.95,1.744957046175817,0.029082616951553335,0.5641921424483849,0.009403202217419712,7.924528850351928,0.36283532920861405,Clear,School,0.9528238506722484,0.3333333333333333,ppo_11000.zip
52,9488,Medium,60,19,22.473683027700893,0.8324560965373984,4.933333333333334,1.6888026897431911,0.028146711026608002,0.5459909901613099,0.009099849684357671,7.156375089170556,0.38420783346790144,Rain,Residential,0.9504973562448964,0.31666666666666665,ppo_11000.zip
53,4379,Medium,120,42,31.976189714852627,0.40595237128684836,5.475,3.962237458045774,0.03301864520855941,1.2808097571578905,0.0106734145540373,6.680502773800898,0.5237332155651133,Rain,Commercial,0.8032540302088262,0.35,ppo_11000.zip
54,6099,Medium,120,44,29.340908424070264,0.30719696271522057,4.758333333333334,3.907713276046098,0.032564277029015175,1.2631134530057058,0.010525945353998003,6.701759399844743,0.44596745211816124,Fog,Industrial,0.662779518383503,0.36666666666666664,ppo_11000.zip
55,7278,Medium,120,45,30.6666659851852,0.3596296216378603,5.1,4.102857047244127,0.034190475108780434,1.3258082778559643,0.01104840222339635,6.874276237689904,0.49664724955962014,Fog,Commercial,0.8129291761513826,0.375,ppo_11000.zip
56,3634,Medium,120,50,27.81999944360001,0.31733332698666683,4.75,4.078191575399841,0.03398492951179093,1.3183883241259409,0.01098656927616143,7.42557542975977,0.5023602456684615,Clear,School,0.5369663430533951,0.4166666666666667,ppo_11000.zip
57,2229,Medium,300,132,32.863636114669426,0.15681818063016528,5.673333333333333,10.80834101202841,0.03602780325333536,3.496184869782758,0.011653949527096029,6.553165675413737,0.5336529179505878,Fog,Commercial,0.6895919051142132,0.44,ppo_11000.zip
58,8949,Medium,300,129,33.744185784928796,0.19894056693327727,6.266666666666667,10.726346184211282,0.03575448716152265,3.4690867618222705,0.01156362250086216,6.4151194087595425,0.5407631010665397,Rain,Commercial,0.9109727571349493,0.43,ppo_11000.zip
59,5836,Medium,300,134,32.83582065047895,0.14912935212092523,5.8966666666666665,10.900821674454235,0.03633607212706055,3.524948137447694,0.011749827085659557,6.726375658995151,0.526186628776387,Clear,Residential,0.6486159561117586,0.44666666666666666,ppo_11000.zip
60,12,Medium,300,138,32.83333309541063,0.12185990249859974,5.513333333333334,11.00627893207529,0.03668759631795898,3.559520162514124,0.01186506716883019,6.8455456208802055,0.4939848427617022,Rain,Commercial,0.6432467512432021,0.46,ppo_11000.zip
61,5478,High,60,19,22.421051451523606,0.7456139958448773,4.6,1.7478156782540564,0.029130260818729926,0.5649786942129531,0.009416311413277362,7.436374918580436,0.32620399018125845,Rain,Industrial,0.9970322011934376,0.31666666666666665,ppo_11000.zip
62,2068,High,60,20,22.599998870000054,0.3699999815000009,3.3,1.7893719423354093,0.029822865208542403,0.5784660409944297,0.009641100522555486,7.887605698381284,0.48011695622889117,Rain,School,0.6137647688794406,0.3333333333333333,ppo_11000.zip
63,8283,High,60,19,22.684209332410035,0.42982453878116456,3.683333333333333,1.8237527967617626,0.030395879439431388,0.5894437927312862,0.00982406304845372,7.7684097136880315,0.46043703129606783,Heavy Rain,School,0.9993407049874996,0.31666666666666665,ppo_11000.zip
64,6333,High,60,19,22.473683027700893,0.7850876779778414,4.816666666666666,1.6710053530051339,0.027850088752584087,0.5402600993177744,0.009004334838557327,7.348338917744939,0.3685809757089529,Fog,Industrial,0.8369115353942211,0.31666666666666665,ppo_11000.zip
65,9266,High,120,51,28.137254350249915,0.21029411352364483,4.133333333333334,4.338617284212747,0.03615514373381336,1.401741029315104,0.011681175146949408,7.480071823872235,0.4510203771686988,Fog,Industrial,0.6879568357394772,0.425,ppo_11000.zip
66,887,High,120,46,31.13043410586013,0.36105071678875256,5.158333333333333,3.937661181009715,0.03281384290163227,1.2728749970896733,0.010607291554019849,6.93023725160543,0.4726434616702049,Fog,Commercial,0.9134087945275682,0.38333333333333336,ppo_11000.zip
67,442,High,120,50,28.499999430000013,0.24849999503000011,4.533333333333333,4.196584173160701,0.03497153448490972,1.3562973445438717,0.011302477777011617,7.318806235521683,0.41020440568563177,Fog,Residential,0.6446228114321607,0.4166666666666667,ppo_11000.zip
68,7524,High,120,52,27.692307159763324,0.15961538154585808,3.5083333333333333,4.262830127566258,0.03552358410035562,1.3776346953712346,0.011480289032424547,7.643717044869939,0.5389293639503454,Fog,Industrial,0.5748059523189479,0.43333333333333335,ppo_11000.zip
69,7142,High,300,142,31.359154708738348,0.11873239353005356,5.476666666666667,11.064549461349062,0.036881831414890764,3.577923634318607,0.01192641207464065,7.04019853589738,0.516348894332094,Fog,Residential,0.7174105025942803,0.47333333333333333,ppo_11000.zip
70,1161,High,300,135,32.755555312921814,0.12323456698838593,5.573333333333333,11.01267830831169,0.036708927572009206,3.5609423587290054,0.011869807822863992,6.780641086092261,0.49767325457454314,Fog,Commercial,0.7535070224003233,0.45,ppo_11000.zip
71,6759,High,300,130,33.26153820568047,0.14761538347988168,5.753333333333333,10.606590270205555,0.03535530078283418,3.4302879892887597,0.011434293259514889,6.463287463682294,0.5434605025604674,Clear,Commercial,0.5817538185608981,0.43333333333333335,ppo_11000.zip
72,2016,High,300,132,32.77272702444904,0.13545454442837465,5.28,10.804218576899796,0.03601406180295245,3.494284036186759,0.011647613415130485,6.573692642386297,0.5146093755623253,Rain,School,0.6725860107503596,0.44,ppo_11000.zip
